,Candidate.First.Name,Candidate.Last.Name,Candidate.State,Candidate.District,Candidate.Party,Incumbent,Freshman.Member,Candidate.Website.URL,Candidate.Gender,Listed.military.service.,Education,Marital.Status,Previous.Electoral.Experience,Position.on.Affordable.Care.Act..ObamaCare.,Position.on.Minimum.Wage,Position.on.Federal.Taxes,Position.on.Business.Regulations,Position.on.National.Debt.Deficit,Position.on.Social.Security,Position.on.Gun.Control,Position.on.Immigration,Position.on.Abortion,Position.on.Same.Sex.Marriage,Position.on.Criminal.Justice.Reform,Position.on.Federal.K.12.Education.Policy,Position.on.Climate.Change,Position.on.Campaign.Finance.Reform,Position.on.Legalization.Decriminalization.of.Marijuana.Policy,Position.on.Defense.Spending,Position.on.Handling.Terrorism.Abroad,Position.on.Russia,Party.Category,Party.Category.1,Incumbency,Female,Democrat,Republican,Trump.Mention,Obama.Mention,Sanders.Mention,Clinton.Mention,Special.Counsel.Mention,Travel.Ban.Mention,SinglePayer,Primary.Outcome,Primary.Runoff.Outcome,Candidate,District,total_runners
10,RICK,NEIGHBORS,AL,4,Democrat,,,http://rickneighborsforcongress.com/,Male,"Yes, the candidate serves or served in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,RICK NEIGHBORS,AL-4,2
11,LEE,AUMAN,AL,4,Democrat,,,https://www.aumanforcongress.com/,Male,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides no information,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0.0,1,0,NEUTRAL MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Winner,,LEE AUMAN,AL-4,2
15,PAUL,SPENCER,AR,2,Democrat,,,https://www.paulspencer2018.com/,Male,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides complicated/complex/unclear position,Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,0,0.0,1,0,NEGATIVE MENTION,NEUTRAL MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NEGATIVE MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,PAUL SPENCER,AR-2,4
16,JONATHAN,DUNKLEY,AR,2,Democrat,,,https://www.votedunkleyar.com/,Male,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,0,0.0,1,0,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,JONATHAN DUNKLEY,AR-2,4
17,GWEN,COMBS,AR,2,Democrat,,,https://www.combsforarkansas.com/,Female,"Yes, the candidate serves or served in the military",Master's Degree (includes MBA),Married,,Candidate explicitly supports ACA,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,GWEN COMBS,AR-2,4
18,CLARKE,TUCKER,AR,2,Democrat,,,http://www.clarketucker.com/,Male,"No, the candidate does not include any information about serving in the military",J.D.,Married,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate supports marriage equality measures,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Winner,,CLARKE TUCKER,AR-2,4
21,DEEDRA,ABBOUD,AZ,0,Democrat,,,http://www.deedra2018.com/,Female,"No, the candidate does not include any information about serving in the military",J.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate supports a reduction in military spending,Candidate provides complicated/complex/unclear position,Candidate provides no information,Progressive Democrat,,0,1.0,1,0,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,DEEDRA ABBOUD,AZ-0,2
22,KYRSTEN,SINEMA,AZ,0,Democrat,,,http://www.kyrstensinema.com/,Female,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports status quo efforts to combat terrorism,Candidate provides no information,Establishment Democrat,,0,1.0,1,0,NO MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Winner,,KYRSTEN SINEMA,AZ-0,2
23,YAHYA,YUKSEL,AZ,2,Democrat,,,http://www.voteyahya.com/,Male,"No, the candidate does not include any information about serving in the military",J.D.,No information,,Candidate provides complicated/complex/unclear position,Candidate provides complicated/complex/unclear position,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate opposes reductions in military spending,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0.0,1,0,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,YAHYA YUKSEL,AZ-2,7
24,MARIA,MATIELLA,AZ,2,Democrat,,,https://www.matiellaforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate proposes reforms to reshape Social Security (e.g. increasing the retirement age; means-testing; etc.),Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,0,1.0,1,0,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,MARIA MATIELLA,AZ-2,7
25,BARBARA,SHERRY,AZ,2,Democrat,,,http://www.barbarasherryforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",Some College,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,0,1.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,BARBARA SHERRY,AZ-2,7
26,MATT,HEINZ,AZ,2,Democrat,,,http://www.heinzforarizona.com/,Male,"No, the candidate does not include any information about serving in the military",M.D./D.M.D./D.O./D.D.S./D.V.M.,No information,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,MATT HEINZ,AZ-2,7
27,BRUCE,WHEELER,AZ,2,Democrat,,,http://www.wheelerforcongress2018.com/,Male,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate supports placing smart regulations on business,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,0,0.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,BRUCE WHEELER,AZ-2,7
28,BILLY,KOVACS,AZ,2,Democrat,,,http://www.kovacsforcongress.com/,Male,"No, the candidate does not include any information about serving in the military",High School,No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides complicated/complex/unclear position,"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,BILLY KOVACS,AZ-2,7
29,ANN,KIRKPATRICK,AZ,2,Democrat,,,http://www.kirkpatrickforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",J.D.,Married,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,"Candidate opposes business regulations and other ""red tape""",Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1.0,1,0,NEGATIVE MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Winner,,ANN KIRKPATRICK,AZ-2,7
30,DELINA,DISANTO,AZ,4,Democrat,,,http://www.delinadisantoforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",No Education Information Listed,Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1.0,1,0,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,DELINA DISANTO,AZ-4,2
31,DAVID,BRILL,AZ,4,Democrat,,,https://www.brillforcongress.com/,Male,"No, the candidate does not include any information about serving in the military",M.D./D.M.D./D.O./D.D.S./D.V.M.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides complicated/complex/unclear position,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate provides no information,Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0.0,1,0,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Winner,,DAVID BRILL,AZ-4,2
32,JOSE,TORRES,AZ,5,Democrat,,,http://torresforcongress.com/,Male,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate supports major criminal justice reform,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,0.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,JOSE TORRES,AZ-5,2
33,JOAN,GREENE,AZ,5,Democrat,,,http://www.joangreeneaz.com/,Female,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate opposes raises taxes (or candidate supports lowering taxes for all),"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate supports marriage equality measures,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,0,1.0,1,0,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Winner,,JOAN GREENE,AZ-5,2
